timestamp,,power,error
52:56.2,381.00,0.000944,-0.008056
52:57.2,382.00,0.000944,-0.008056
52:58.2,383.00,0.000943,-0.008057
52:59.2,384.00,0.000944,-0.008056
53:00.2,385.00,0.000944,-0.008056
53:01.2,386.00,0.000944,-0.008056
53:02.2,387.00,0.000943,-0.008057
53:03.2,388.00,0.000944,-0.008056
53:04.3,389.00,0.000943,-0.008057
53:05.3,390.00,0.000944,-0.008056
53:06.3,391.00,0.000943,-0.008057
53:07.3,392.00,0.000943,-0.008057
53:08.3,393.00,0.000944,-0.008056
53:09.3,394.00,0.000944,-0.008056
53:10.3,395.00,0.000944,-0.008056
53:11.4,396.00,0.000944,-0.008056
53:12.4,397.00,0.000944,-0.008056
53:13.4,398.00,0.000944,-0.008056
53:14.4,399.00,0.000944,-0.008056
53:15.4,400.00,0.000944,-0.008056
53:16.5,401.00,0.000944,-0.008056
53:17.5,402.00,0.000944,-0.008056
53:18.5,403.00,0.000943,-0.008057
53:19.5,404.00,0.000944,-0.008056
53:20.6,405.00,0.000944,-0.008056
53:21.6,406.00,0.000943,-0.008057
53:22.6,407.00,0.000944,-0.008056
53:23.6,408.00,0.000944,-0.008056
53:24.6,409.00,0.000944,-0.008056
53:25.6,410.00,0.000944,-0.008056
53:26.7,411.00,0.000944,-0.008056
53:27.7,412.00,0.000944,-0.008056
53:28.7,413.00,0.000944,-0.008056
53:29.7,414.00,0.000943,-0.008057
53:30.7,415.00,0.000943,-0.008057
53:31.7,416.00,0.000944,-0.008056
53:32.7,417.00,0.000943,-0.008057
53:33.8,418.00,0.000944,-0.008056
53:34.8,419.00,0.000944,-0.008056
53:35.8,420.00,0.000944,-0.008056
53:36.8,421.00,0.000944,-0.008056
53:37.8,422.00,0.000944,-0.008056
53:38.8,423.00,0.000944,-0.008056
53:39.8,424.00,0.000944,-0.008056
53:40.8,425.00,0.000944,-0.008056
53:41.9,426.00,0.000943,-0.008057
53:42.9,427.00,0.000944,-0.008056
53:43.9,428.00,0.000944,-0.008056
53:44.9,429.00,0.000944,-0.008056
53:45.9,430.00,0.000943,-0.008057
53:46.9,431.00,0.000944,-0.008056
53:47.9,432.00,0.000944,-0.008056
53:49.0,433.00,0.000944,-0.008056
53:50.0,434.00,0.000944,-0.008056
53:51.0,435.00,0.000944,-0.008056
53:52.0,436.00,0.000944,-0.008056
53:53.0,437.00,0.000944,-0.008056
53:54.0,438.00,0.000944,-0.008056
53:55.0,439.00,0.000944,-0.008056
53:56.1,440.00,0.000944,-0.008056
53:57.1,441.00,0.000944,-0.008056
53:58.1,442.00,0.000944,-0.008056
53:59.1,443.00,0.000944,-0.008056
54:00.1,444.00,0.000944,-0.008056
54:01.2,445.00,0.000944,-0.008056
54:02.2,446.00,0.000944,-0.008056
54:03.2,447.00,0.000944,-0.008056
54:04.2,448.00,0.000944,-0.008056
54:05.2,449.00,0.000944,-0.008056
54:06.3,450.00,0.000944,-0.008056
54:07.3,451.00,0.000944,-0.008056
54:08.3,452.00,0.000944,-0.008056
54:09.3,453.00,0.000944,-0.008056
54:10.4,454.00,0.000944,-0.008056
54:11.4,455.00,0.000944,-0.008056
54:12.4,456.00,0.000944,-0.008056
54:13.4,457.00,0.000944,-0.008056
54:14.4,458.00,0.000944,-0.008056
54:15.5,459.00,0.000944,-0.008056
54:16.5,460.00,0.000944,-0.008056
54:17.5,461.00,0.000944,-0.008056
54:18.5,462.00,0.000943,-0.008057
54:19.5,463.00,0.000944,-0.008056
54:20.6,464.00,0.000944,-0.008056
54:21.6,465.00,0.000944,-0.008056
54:22.6,466.00,0.000944,-0.008056
54:23.6,467.00,0.000944,-0.008056
54:24.6,468.00,0.000944,-0.008056
54:25.7,469.00,0.000944,-0.008056
54:26.7,470.00,0.000944,-0.008056
54:27.7,471.00,0.000944,-0.008056
54:28.7,472.00,0.000944,-0.008056
54:29.7,473.00,0.000944,-0.008056
54:30.7,474.00,0.000944,-0.008056
54:31.7,475.00,0.000944,-0.008056
54:32.7,476.00,0.000944,-0.008056
54:33.8,477.00,0.000944,-0.008056
54:34.8,478.00,0.000944,-0.008056
54:35.8,479.00,0.000944,-0.008056
54:36.8,480.00,0.000944,-0.008056
54:37.8,481.00,0.000944,-0.008056
54:38.8,482.00,0.000944,-0.008056
54:39.9,483.00,0.000943,-0.008057
54:40.9,484.00,0.000944,-0.008056
54:41.9,485.00,0.000943,-0.008057
54:42.9,486.00,0.000944,-0.008056
54:43.9,487.00,0.000944,-0.008056
54:45.0,488.00,0.000944,-0.008056
54:46.0,489.00,0.000943,-0.008057
54:47.0,490.00,0.000944,-0.008056
54:48.0,491.00,0.000944,-0.008056
54:49.0,492.00,0.000944,-0.008056
54:50.1,493.00,0.000944,-0.008056
54:51.1,494.00,0.000944,-0.008056
54:52.1,495.00,0.000943,-0.008057
54:53.1,496.00,0.000944,-0.008056
54:54.1,497.00,0.000944,-0.008056
54:55.2,498.00,0.000944,-0.008056
54:56.2,499.00,0.000944,-0.008056
54:57.2,500.00,0.000944,-0.008056
54:58.2,501.00,0.000944,-0.008056
54:59.2,502.00,0.000944,-0.008056
55:00.3,503.00,0.000943,-0.008057
55:01.3,504.00,0.000944,-0.008056
55:02.3,505.00,0.000944,-0.008056
55:03.3,506.00,0.000944,-0.008056
55:04.3,507.00,0.000943,-0.008057
55:05.3,508.00,0.000944,-0.008056
55:06.4,509.00,0.000944,-0.008056
55:07.4,510.00,0.000943,-0.008057
55:08.4,511.00,0.000944,-0.008056
55:09.4,512.00,0.000943,-0.008057
55:10.5,513.00,0.000944,-0.008056
55:11.5,514.00,0.000944,-0.008056
55:12.5,515.00,0.000944,-0.008056
55:13.5,516.00,0.000944,-0.008056
55:14.5,517.00,0.000944,-0.008056
55:15.6,518.00,0.000944,-0.008056
55:16.6,519.00,0.000944,-0.008056
55:17.6,520.00,0.000943,-0.008057
55:18.6,521.00,0.000944,-0.008056
55:19.6,522.00,0.000943,-0.008057
55:20.6,523.00,0.000943,-0.008057
55:21.6,524.00,0.000944,-0.008056
55:22.6,525.00,0.000944,-0.008056
55:23.6,526.00,0.000943,-0.008057
55:24.7,527.00,0.000943,-0.008057
55:25.7,528.00,0.000944,-0.008056
55:26.7,529.00,0.000943,-0.008057
55:27.7,530.00,0.000943,-0.008057
55:28.7,531.00,0.000943,-0.008057
55:29.7,532.00,0.000943,-0.008057
55:30.8,533.00,0.000943,-0.008057
55:31.8,534.00,0.000943,-0.008057
55:32.8,535.00,0.000944,-0.008056
55:33.8,536.00,0.000944,-0.008056
55:34.8,537.00,0.000943,-0.008057
55:35.8,538.00,0.000944,-0.008056
55:36.8,539.00,0.000944,-0.008056
55:37.9,540.00,0.000943,-0.008057
55:38.9,541.00,0.000943,-0.008057
55:39.9,542.00,0.000943,-0.008057
55:40.9,543.00,0.000944,-0.008056
55:41.9,544.00,0.000943,-0.008057
55:42.9,545.00,0.000944,-0.008056
55:44.0,546.00,0.000943,-0.008057
55:45.0,547.00,0.000943,-0.008057
55:46.0,548.00,0.000943,-0.008057
55:47.0,549.00,0.000943,-0.008057
55:48.0,550.00,0.000944,-0.008056
55:49.1,551.00,0.000943,-0.008057
55:50.1,552.00,0.000943,-0.008057
55:51.1,553.00,0.000943,-0.008057
55:52.1,554.00,0.000943,-0.008057
55:53.1,555.00,0.000943,-0.008057
55:54.1,556.00,0.000943,-0.008057
55:55.2,557.00,0.000943,-0.008057
55:56.2,558.00,0.000943,-0.008057
55:57.2,559.00,0.000943,-0.008057
55:58.2,560.00,0.000944,-0.008056
55:59.2,561.00,0.000943,-0.008057
56:00.2,562.00,0.000944,-0.008056
56:01.2,563.00,0.000943,-0.008057
56:02.2,564.00,0.000944,-0.008056
56:03.3,565.00,0.000943,-0.008057
56:04.3,566.00,0.000944,-0.008056
56:05.3,567.00,0.000943,-0.008057
56:06.3,568.00,0.000943,-0.008057
56:07.3,569.00,0.000943,-0.008057
56:08.4,570.00,0.000943,-0.008057
56:09.4,571.00,0.000943,-0.008057
56:10.4,572.00,0.000943,-0.008057
56:11.4,573.00,0.000943,-0.008057
56:12.4,574.00,0.000943,-0.008057
56:13.4,575.00,0.000943,-0.008057
56:14.4,576.00,0.000943,-0.008057
56:15.5,577.00,0.000943,-0.008057
56:16.5,578.00,0.000943,-0.008057
56:17.5,579.00,0.000943,-0.008057
56:18.5,580.00,0.000943,-0.008057
56:19.5,581.00,0.000943,-0.008057
56:20.5,582.00,0.000943,-0.008057
56:21.6,583.00,0.000943,-0.008057
56:22.6,584.00,0.000943,-0.008057
56:23.6,585.00,0.000943,-0.008057
56:24.6,586.00,0.000943,-0.008057
56:25.6,587.00,0.000943,-0.008057
56:26.7,588.00,0.000943,-0.008057
56:27.7,589.00,0.000943,-0.008057
56:28.7,590.00,0.000943,-0.008057
56:29.7,591.00,0.000943,-0.008057
56:30.7,592.00,0.000943,-0.008057
56:31.7,593.00,0.000943,-0.008057
56:32.8,594.00,0.000943,-0.008057
56:33.8,595.00,0.000943,-0.008057
56:34.8,596.00,0.000943,-0.008057
56:35.8,597.00,0.000943,-0.008057
56:36.8,598.00,0.000943,-0.008057
56:37.8,599.00,0.000943,-0.008057
56:38.9,600.00,0.000943,-0.008057
56:39.9,601.00,0.000943,-0.008057
56:40.9,602.00,0.000943,-0.008057
56:41.9,603.00,0.000943,-0.008057
56:42.9,604.00,0.000943,-0.008057
56:44.0,605.00,0.000943,-0.008057
56:45.0,606.00,0.000943,-0.008057
56:46.0,607.00,0.000943,-0.008057
56:47.0,608.00,0.000943,-0.008057
56:48.0,609.00,0.000943,-0.008057
56:49.0,610.00,0.000943,-0.008057
56:50.1,611.00,0.000943,-0.008057
56:51.1,612.00,0.000943,-0.008057
56:52.1,613.00,0.000943,-0.008057
56:53.1,614.00,0.000943,-0.008057
56:54.1,615.00,0.000943,-0.008057
56:55.1,616.00,0.000943,-0.008057
56:56.2,617.00,0.000943,-0.008057
56:57.2,618.00,0.000943,-0.008057
56:58.2,619.00,0.000943,-0.008057
56:59.2,620.00,0.000943,-0.008057
57:00.2,621.00,0.000943,-0.008057
57:01.2,622.00,0.000943,-0.008057
57:02.2,623.00,0.000943,-0.008057
57:03.2,624.00,0.000943,-0.008057
57:04.3,625.00,0.000943,-0.008057
57:05.3,626.00,0.000943,-0.008057
57:06.3,627.00,0.000943,-0.008057
57:07.3,628.00,0.000943,-0.008057
57:08.3,629.00,0.000943,-0.008057
57:09.3,630.00,0.000943,-0.008057
57:10.3,631.00,0.000943,-0.008057
57:11.4,632.00,0.000943,-0.008057
57:12.4,633.00,0.000943,-0.008057
57:13.4,634.00,0.000943,-0.008057
57:14.4,635.00,0.000943,-0.008057
57:15.4,636.00,0.000943,-0.008057
57:16.4,637.00,0.000943,-0.008057
57:17.4,638.00,0.000943,-0.008057
57:18.4,639.00,0.000943,-0.008057
57:19.4,640.00,0.000943,-0.008057
57:20.4,641.00,0.000943,-0.008057
57:21.4,642.00,0.000943,-0.008057
57:22.5,643.00,0.000943,-0.008057
57:23.5,644.00,0.000943,-0.008057
57:24.5,645.00,0.000943,-0.008057
57:25.5,646.00,0.000943,-0.008057
57:26.5,647.00,0.000943,-0.008057
57:27.5,648.00,0.000943,-0.008057
57:28.6,649.00,0.000943,-0.008057
57:29.6,650.00,0.000943,-0.008057
57:30.6,651.00,0.000943,-0.008057
57:31.6,652.00,0.000943,-0.008057
57:32.6,653.00,0.000943,-0.008057
57:33.6,654.00,0.000943,-0.008057
57:34.7,655.00,0.000943,-0.008057
57:35.7,656.00,0.000943,-0.008057
57:36.7,657.00,0.000943,-0.008057
57:37.7,658.00,0.000943,-0.008057
57:38.7,659.00,0.000943,-0.008057
57:39.8,660.00,0.000943,-0.008057
57:40.8,661.00,0.000943,-0.008057
57:41.8,662.00,0.000943,-0.008057
57:42.8,663.00,0.000943,-0.008057
57:43.8,664.00,0.000943,-0.008057
